msme_id,incorporation_age,is_private_limited,employee_count,total_revenue_norm,gst_liability_norm,itc_available_norm,b2b_revenue_ratio,export_revenue_ratio,revenue_mean_norm,revenue_std_norm,revenue_growth,total_outstanding_norm,total_sanctioned_norm,utilization_ratio,overdue_ratio,npa_count,sma_count,cc_accounts,od_accounts,term_loan_accounts,need_working_capital,need_machinery_capex,need_business_expansion,need_inventory_funding,need_trade_finance,need_digital_transformation,credit_risk_label
4e155624-f24d-49fb-b0d1-fd664910d313,3.0,0.0,45.0,0.05975949617662073,0.03446385967452657,0.02122668613467722,0.2342789358890592,0.015272703420557518,0.1022136761479347,0.049198314746673306,-0.6887512568162734,0.076563092,0.13512818000000001,0.5665960423651084,0.22181237142303503,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9db90362-1497-4d55-98a5-51d6df1d8fd6,8.0,1.0,13.0,0.1861662364380621,0.031817880337015034,0.020006687563301498,0.24351117049972118,0.047588605871768754,0.12246950102621312,0.03779931420018349,1.034143100530134,0.080794006,0.086470982,0.9343481955599858,0.20513696275934132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
fb3fbde2-e2db-4af5-99e7-c536504614e9,2.0,1.0,2.0,0.04952682972906103,0.03099113852350856,0.019025281797490818,0.2594854419468814,0.02028196722406005,0.042949662672390004,0.009590149999553354,0.4334896262286267,0.09675112000000001,0.194088913,0.49848864885960803,0.15182827857703352,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
c9dcd802-267f-443e-ae6a-788e5bbb80c6,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.005798499598935235,0.005457062774701306,-1.0,0.026260474,0.054454274,0.48224817027218103,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ab46aa8b-87ad-401b-950d-b645297c2eb3,6.0,1.0,18.0,0.13981316516233455,0.0560412555985653,0.0402168187400932,0.3784621038394017,0.06513296600304566,0.12463427268097585,0.017632574033366405,0.3529117712514179,0.039035889000000004,0.081241703,0.48049077700894577,0.07369994827067983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ad202737-179d-441f-9085-38ef29be2a60,1.0,0.0,52.0,0.13302434636947535,0.0830815854123012,0.07312749226485926,0.3201032607383502,0.03678391259574822,0.09800864106632257,0.045033176209324094,3.326045742612326,0.15476636,0.252831197,0.6121331617157988,0.029368423473938397,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
e81a8369-27c4-46df-ad7d-34abd9b04c06,11.0,0.0,3.0,0.07169629066347913,0.036854285291898554,0.02539734695751032,0.2069768116939943,0.021866454318438817,0.07708289272092672,0.014999317979236905,0.25522635530765186,0.011860807000000001,0.035486358,0.33423568008866955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fb1e4fba-eaca-43b7-9db0-4a158586d720,2.0,0.0,3.0,0.07778142002023941,0.03851893785341544,0.029973098002109826,0.46268812076078897,0.11704731855971585,0.07970985338856852,0.006275529919600065,0.053951225550774126,0.048074049,0.093597778,0.5136238276938583,0.006274008665257217,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceb12a4a-e126-410c-837f-4602119878e3,3.0,1.0,11.0,0.00308510401147147,0.0006962220897304477,0.0005775212429436595,0.32293793805232557,0.07107504063823565,0.01441830850337435,0.01134008924584114,-0.9160272327395076,0.479004167,1.412064387,0.33922261010892557,0.18942849614082793,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
bf46485f-1f30-444d-8063-adb8de81e318,4.0,0.0,5.0,0.0109605030980845,0.0021000525452139094,0.001358030240415659,0.3112198258146756,0.03838116674886098,0.031170612098189835,0.016171637149610767,-0.7487776417939002,0.053703064,0.097295201,0.5519600499103754,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
c4bc04d0-bb2a-45b3-8f83-3aafb4a12184,6.0,0.0,2.0,0.03337966094515283,0.018724392257291344,0.01658097925992917,0.3906996439520563,0.17201935643319413,0.0574191355799787,0.014835192315326234,-0.36899967339101125,0.030791324,0.06549483,0.470133657878034,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
347d7ec2-3708-48ec-bb61-a1d3db5b931d,3.0,0.0,6.0,0.07449560409833984,0.017530852846520954,0.013276605622746778,0.26394868338736827,0.0060046219603154,0.0744516398805425,0.01667964977461737,0.15061592448082778,0.31595149,0.663047222,0.47651431077106604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
e06b4a97-542c-46b1-8789-ad39ff71c589,4.0,0.0,23.0,0.30106618568988003,0.19370833726017847,0.11911476944115841,0.24199394908351907,0.03371586943459833,0.30503925687179606,0.06625162461528265,-0.19242564661414088,3.180190564,4.295563345000001,0.7403430722775198,0.26032575795039686,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
798a8844-0e2e-4a71-9341-3bf4c74ff8f4,2.0,0.0,10.0,0.03689264454902755,0.025576517990913313,0.019484175688408416,0.3098773522714305,0.026557162349815287,0.03208384493730085,0.005891715991894005,0.4760432239067849,0.02209362,0.037439121,0.5901212264037929,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
